technology,planning_year,capex_mw,capex_mwh,fixed_o_m_mw,fixed_o_m_mwh,variable_o_m_mwh,wacc_real,dollar_year,heat_rate,notes
Nuclear_mid,2020,7333604.139,0,144972.332,0,2.351778656,0.03207522,2019,10.455,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
Nuclear_mid,2025,7043605.103,0,144972.332,0,2.351778656,0.03207522,2019,10.455,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
Nuclear_mid,2030,6846158.617,0,144972.332,0,2.351778656,0.033416612,2019,10.455,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
Nuclear_mid,2035,6606391.465,0,144972.332,0,2.351778656,0.033416612,2019,10.455,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
Nuclear_mid,2040,6373192.406,0,144972.332,0,2.351778656,0.033416612,2019,10.455,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
Nuclear_mid,2045,6151844.092,0,144972.332,0,2.351778656,0.033416612,2019,10.455,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
Nuclear_mid,2050,5856411.459,0,144972.332,0,2.351778656,0.033416612,2019,10.455,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
CSP_Class5_10hoursTES,2020,6572585.835,0,65612.05,0,3.5001425,0.041317767,2019,3.412,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
CSP_Class5_10hoursTES,2025,5315725.68,0,58872.0226,0,2.8854875,0.03945985,2019,3.412,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
CSP_Class5_10hoursTES,2030,4594298.15,0,50446.98834,0,2.8854875,0.037301408,2019,3.412,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
CSP_Class5_10hoursTES,2035,4292236.402,0,50446.98834,0,2.8854875,0.037301408,2019,3.412,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
CSP_Class5_10hoursTES,2040,4237839.944,0,50446.98834,0,2.8854875,0.037301408,2019,3.412,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
CSP_Class5_10hoursTES,2045,4225326.29,0,50446.98834,0,2.8854875,0.037301408,2019,3.412,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
CSP_Class5_10hoursTES,2050,4212812.637,0,50446.98834,0,2.8854875,0.037301408,2019,3.412,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
Geothermal_hydrobinary,2020,8407483.552,0,180498.3287,0,0,0.033785822,2019,3.412,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
Geothermal_hydrobinary,2025,7901748.965,0,174774.2147,0,0,0.034207076,2019,3.412,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
Geothermal_hydrobinary,2030,7426212.664,0,169050.1007,0,0,0.037129373,2019,3.412,"data from pg_misc_tables.sqlite, NREL ATB, moderate-market scenarios, atb_year = 2021"
